960529,117.3750,118.2500,116.6250,117.1250,2098100
960530,117.2500,118.2500,116.6250,118.1250,2114000
960531,118.5625,119.3750,118.0000,118.7500,2516200
960603,118.7500,119.5000,118.1250,118.3750,1980300
960604,118.6250,118.8750,116.2500,117.8750,4115900
960605,118.0000,121.2500,117.8750,120.8750,3185500
960606,121.7500,123.0000,119.7500,119.8125,5508500
960607,117.6250,121.2500,117.6250,121.2500,4387400
960610,121.0000,121.2500,119.9687,120.6250,2863700
960611,120.7500,123.2500,120.6250,122.1250,4078700
960612,122.8750,125.3750,122.7500,125.0000,5552800
960613,125.1250,125.8750,123.7500,124.6250,3911100
960614,124.7500,125.0000,122.8750,123.0000,3496500
960617,123.1250,125.0000,122.3750,124.6250,3593700
960618,124.5000,124.5000,122.0000,122.3750,4661600
960619,122.5000,123.1250,121.3750,121.7500,4588100
960620,122.0000,122.4687,119.0000,121.7500,6389300
960621,122.3750,124.1250,121.5000,123.6875,3550400
960624,124.0000,125.1250,123.0000,124.1250,3006400
960625,124.2500,124.2500,121.3750,122.0000,2571600
960626,121.8750,122.0000,119.0000,120.5000,4466100
960627,120.5000,121.0000,119.0000,119.9375,4848900
960628,120.5000,121.0000,119.1250,120.1250,3247500
960701,120.2500,122.5000,120.1250,122.3125,2991200
960702,122.3750,122.6250,121.2500,121.6250,2409300
960703,121.6250,122.8750,120.6250,121.1250,2765200
960705,118.7500,120.3750,118.3750,118.3750,2208200
960708,118.5000,120.7500,118.1250,120.3125,4027500
960709,120.8750,121.3750,120.0000,120.0000,2019800
960710,120.0000,120.0000,118.1250,119.5000,4873800
960711,118.2500,118.3750,113.7500,114.5000,8807200
960712,115.1875,115.1875,110.4687,112.3750,8717400
960715,112.3750,113.7500,109.8750,110.6250,6989500
960716,110.2500,115.6250,107.5000,115.3750,11382300
960717,117.7500,118.1250,115.6250,117.1250,7892000
960718,117.2500,120.0000,115.8750,119.8750,6158600
960719,117.7500,121.6250,117.7500,120.9687,6200500
960722,121.0000,121.5000,117.8750,119.7500,9029700
960723,120.0000,120.1250,110.2500,112.1250,16104900
960724,109.5000,115.7500,109.5000,114.7500,12011000
960725,116.0000,118.7500,115.1250,118.5000,6307500
960726,119.5000,119.5000,118.2500,119.1250,3706500
960729,119.2500,119.8750,116.7500,116.8750,3546800
960730,117.8750,118.7500,116.1250,118.6250,4186000
960731,119.0000,119.6250,117.6250,117.8750,3520000
960801,117.8750,120.8750,117.3750,120.6250,6001600
960802,122.1250,123.8750,120.6250,123.3750,6830600
960805,123.5000,123.7500,121.2500,121.7500,3442000
960806,121.6250,124.1250,120.8750,124.0000,4211800
960807,124.3750,125.1250,122.8750,124.7500,4799400
960808,124.1250,125.8750,123.7500,125.2500,3398700
960809,124.7500,125.5000,123.8750,124.5000,2769600
960812,124.2500,126.1250,124.0000,125.2500,4136700
960813,125.0000,125.8750,123.3750,123.5000,4531800
960814,123.8750,125.1250,123.7500,124.8750,3252000
960815,124.7500,125.7500,124.3750,125.1250,2222300
960816,125.1250,125.2500,123.6250,123.6250,2974900
960819,123.8750,124.1250,122.2500,123.5000,2695700
960820,123.7500,124.1250,123.2500,123.3750,1604900
960821,122.3750,123.5000,121.7500,123.5000,3084100
960822,124.1250,125.1250,123.5000,125.0000,3139800
960823,124.8750,125.0000,123.2500,123.2500,2750400
960826,123.0000,123.7500,122.7500,122.8750,1997000
960827,123.0000,124.7500,123.0000,124.7500,1752400
960828,125.0000,125.7500,124.8750,125.6250,2004400
960829,125.2500,125.2500,123.6250,124.1250,2136400
960830,124.2500,124.2500,122.5000,122.5000,1755500
960903,122.0000,123.3750,120.6250,123.3750,3032800
960904,123.3750,123.6250,122.9375,123.3750,1695400
960905,122.7500,123.0000,121.5000,121.5000,2523300
