id	X-Coordinate	Y-Coordinate	Z	M	CSA	COUNT	ID
0	-76.65791577	 39.27557763	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65792014	 39.27557332	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65792450	 39.27556900	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65792886	 39.27556467	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65793321	 39.27556035	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65793756	 39.27555602	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65794192	 39.27555170	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65794628	 39.27554738	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65795065	 39.27554306	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65795502	 39.27553875	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65795941	 39.27553445	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65796381	 39.27553015	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65796822	 39.27552586	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65797265	 39.27552159	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65797709	 39.27551731	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65798149	 39.27551300	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65798586	 39.27550866	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65799021	 39.27550430	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65799454	 39.27549991	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65799886	 39.27549551	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65800317	 39.27549111	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65800748	 39.27548671	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65801181	 39.27548231	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65801615	 39.27547793	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65802051	 39.27547357	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65802490	 39.27546923	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65802933	 39.27546493	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65803381	 39.27546066	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65803833	 39.27545645	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65804291	 39.27545228	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65804755	 39.27544817	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65805227	 39.27544413	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65805706	 39.27544016	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65806194	 39.27543627	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65806690	 39.27543247	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65807202	 39.27542880	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65807751	 39.27542548	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65808335	 39.27542248	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65808947	 39.27541974	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65809579	 39.27541718	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65810223	 39.27541475	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65810874	 39.27541235	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65811523	 39.27540994	0	0	Allendale/Irvington/S. Hil	6	1	
