College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
  50  Louisville              =  82.58   18  12   77.63(  51)    0   4  |    1   9  |   82.65   47 |   82.16   56
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
  51  Notre Dame              =  82.43   15  13   78.42(  34)    0   2  |    0   8  |   81.08   59 |   83.67   34
  52  California           $  =  82.40   20  10   77.58(  54)    0   1  |    2   4  |   81.54   54 |   82.99   44
  53  Saint Joseph's          =  82.26   18  13   78.98(  22)    1   2  |    1   5  |   81.38   55 |   82.87   49
  54  Air Force            $  =  82.06   22   6   72.97( 166)    0   0  |    0   1  |   81.24   58 |   82.59   50
  55  Vanderbilt              =  82.03   17  12   78.72(  29)    0   2  |    1   8  |   81.79   53 |   81.92   58
  56  Xavier-Ohio          $  =  81.85   21  10   74.44( 114)    0   1  |    1   2  |   80.60   64 |   82.94   47
  57  Alabama              $  =  81.85   17  12   78.94(  24)    1   1  |    4   4  |   82.15   52 |   81.21   65
  58  Clemson                 =  81.55   17  12   77.43(  59)    0   2  |    1   5  |   80.63   63 |   82.20   55
  59  Seton Hall           $  =  81.54   18  11   78.27(  37)    0   3  |    5   3  |   82.59   48 |   80.29   75
  60  Iona                 $  =  81.30   23   7   73.35( 156)    0   0  |    0   0  |   80.92   61 |   81.35   63
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
  61  Rutgers                 =  81.22   17  13   77.68(  50)    0   3  |    0   7  |   81.00   60 |   81.09   66
  62  Oklahoma State          =  81.18   17  15   77.88(  41)    1   3  |    2   5  |   79.44   80 |   82.93   48
  63  San Diego State      $  =  81.14   22   8   74.30( 116)    0   0  |    0   0  |   79.99   73 |   82.08   57
  64  Hofstra                 =  81.12   24   6   73.50( 149)    0   0  |    0   0  |   83.45   41 |   78.95   88
  65  Temple                  =  81.04   17  14   77.74(  47)    0   2  |    1   4  |   79.72   77 |   82.21   54
