College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 207  Elon                    =  69.45   12  14   71.98( 190)    0   0  |    0   0  |   71.32  179 |   67.06  238
 208  Montana State           =  69.35   13  14   70.21( 248)    0   0  |    0   0  |   69.37  207 |   68.99  209
 209  Rice                    =  69.29   10  16   72.70( 176)    0   2  |    0   3  |   68.57  222 |   69.66  198
 210  Ark.-Little Rock        =  69.27   13  15   70.54( 235)    0   1  |    0   2  |   69.71  199 |   68.48  216
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 211  Fairfield               =  69.26    9  19   74.52( 112)    0   0  |    0   2  |   69.62  201 |   68.56  214
 212  Stephen F. Austin       =  69.23   14  12   67.22( 310)    0   0  |    0   0  |   68.81  216 |   69.31  206
 213  Radford                 =  69.11   14  13   69.36( 270)    0   0  |    0   1  |   69.61  202 |   68.26  219
 214  Chattanooga             =  69.05   15  13   69.75( 260)    0   0  |    0   0  |   71.12  181 |   66.38  248
 215  Tennessee-Martin        =  69.00   11  15   71.22( 204)    0   1  |    0   1  |   69.43  204 |   68.22  220
 216  Binghamton-NY           =  68.97   16  13   67.93( 296)    0   0  |    0   0  |   67.75  234 |   69.80  196
 217  Arkansas State          =  68.83   10  18   72.89( 169)    0   0  |    0   2  |   68.86  214 |   68.45  218
 218  Vermont                 =  68.78   13  17   70.01( 252)    0   0  |    0   2  |   66.38  252 |   70.59  180
 219  Central Florida(UCF)    =  68.71   12  15   71.09( 212)    0   2  |    0   2  |   68.49  223 |   68.58  213
 220  Canisius                =  68.69    9  20   72.82( 171)    0   0  |    0   1  |   67.75  233 |   69.25  207
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 221  Boston U.               =  68.58   12  16   70.65( 233)    0   1  |    0   2  |   66.52  250 |   70.11  190
 222  McNeese State           =  68.53   11  14   71.24( 203)    0   0  |    0   1  |   69.40  205 |   67.27  234
 223  Tulane                  =  68.51   11  16   72.75( 174)    0   2  |    0   3  |   68.87  213 |   67.80  227
 224  Rider                   =  68.49    8  20   73.97( 130)    0   1  |    0   1  |   68.16  227 |   68.48  217
 225  Eastern Kentucky        =  68.43   13  16   70.84( 224)    0   0  |    0   1  |   69.93  195 |   66.44  247
 226  Furman                  =  68.42   12  13   69.08( 277)    0   0  |    0   0  |   68.81  215 |   67.67  231
 227  Towson                  =  68.40   12  16   71.56( 199)    0   0  |    0   1  |   69.43  203 |   66.95  240
 228  Chicago State           =  68.24   11  19   73.16( 161)    0   1  |    0   1  |   68.34  225 |   67.80  228
 229  Delaware                =  68.23    9  21   73.71( 139)    0   0  |    0   1  |   67.44  238 |   68.66  211
 230  New Orleans             =  68.22    8  19   74.32( 115)    0   1  |    0   2  |   68.06  228 |   68.03  223
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 231  Tulsa                   =  68.13   10  17   73.06( 163)    0   2  |    0   2  |   67.82  231 |   68.09  221
 232  Marshall                =  67.90   12  16   71.16( 208)    0   1  |    1   2  |   68.57  221 |   66.86  241
 233  Yale                    =  67.67   15  14   68.43( 286)    0   1  |    0   1  |   67.95  229 |   67.04  239
 234  San Jose State          =  67.65    6  25   75.44(  93)    0   0  |    0   2  |   66.13  256 |   68.70  210
 235  Texas-San Antonio       =  67.55    9  17   70.52( 236)    0   0  |    0   1  |   66.12  258 |   68.53  215
 236  Weber State             =  67.45    8  17   72.24( 186)    0   0  |    0   0  |   67.02  242 |   67.52  232
 237  Harvard                 =  67.43   13  14   68.37( 287)    0   0  |    0   1  |   66.79  244 |   67.70  230
 238  Western Carolina        =  67.36   10  17   71.04( 216)    0   0  |    0   0  |   67.65  235 |   66.71  242
 239  Cornell                 =  67.34   12  15   69.35( 271)    0   0  |    0   2  |   66.60  247 |   67.72  229
 240  Appalachian State       =  67.34   12  16   70.54( 234)    0   0  |    0   2  |   68.62  220 |   65.57  259
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 241  Princeton               =  67.24   12  14   70.34( 242)    0   0  |    0   0  |   68.45  224 |   65.55  261
 242  Wagner                  =  67.22   12  14   67.68( 304)    0   0  |    0   1  |   66.13  257 |   67.90  226
 243  American U.             =  67.17   12  17   70.50( 238)    0   0  |    0   1  |   66.75  245 |   67.25  235
 244  William & Mary          =  67.13    8  20   72.84( 170)    0   0  |    0   0  |   65.86  260 |   67.97  224
 245  Bowling Green           =  67.06    7  21   74.74( 106)    0   0  |    0   1  |   67.54  236 |   66.22  251
 246  Utah Valley State       =  67.06   14  13   66.70( 315)    0   0  |    0   0  |   66.56  249 |   67.20  236
 247  Georgia State           =  67.04    7  22   74.65( 109)    0   0  |    0   0  |   67.06  239 |   66.66  243
 248  TCU                     =  66.92    6  24   75.09(  99)    0   0  |    0   1  |   65.26  265 |   68.08  222
 249  St. Bonaventure         =  66.71    8  19   72.82( 172)    0   0  |    0   2  |   66.44  251 |   66.63  244
 250  Charleston Southern     =  66.62   10  15   70.30( 244)    0   0  |    0   0  |   68.34  226 |   64.26  275
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 251  Cleveland State         =  66.59    8  18   73.43( 153)    0   1  |    0   2  |   67.48  237 |   65.27  264
 252  UMKC                    =  66.54   13  14   69.02( 278)    0   0  |    0   0  |   67.76  232 |   64.83  270
 253  Robert Morris           =  66.43   13  14   68.27( 291)    0   0  |    0   2  |   66.73  246 |   65.77  258
 254  Gardner-Webb            =  66.28   17  12   67.27( 309)    0   2  |    0   2  |   67.89  230 |   64.06  278
 255  CS Northridge           =  66.23   10  17   70.94( 219)    0   0  |    0   0  |   66.89  243 |   65.18  268
 256  East Tennessee State    =  66.18   15  13   64.82( 330)    0   0  |    0   1  |   64.69  274 |   67.18  237
 257  Cal Poly-SLO            =  66.15    8  19   72.28( 185)    0   0  |    0   0  |   66.06  259 |   65.90  254
 258  Southern Miss           =  66.11    7  21   74.50( 113)    0   2  |    0   3  |   66.31  254 |   65.56  260
 259  Mount St. Mary's        =  66.05   13  17   68.56( 282)    0   0  |    0   0  |   66.33  253 |   65.41  262
 260  Wofford                 =  65.98    7  18   72.11( 188)    0   0  |    0   1  |   65.25  266 |   66.35  249
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 261  Oakland-Mich.           =  65.85    9  18   70.70( 230)    0   0  |    0   0  |   65.47  263 |   65.87  255
 262  Southern Utah           =  65.79    9  20   70.50( 239)    0   0  |    0   0  |   64.62  276 |   66.52  246
 263  Florida Atlantic        =  65.73   15  13   65.11( 327)    0   0  |    0   0  |   65.33  264 |   65.79  257
 264  Youngstown State        =  65.64    6  21   72.50( 182)    0   0  |    0   0  |   64.59  278 |   66.27  250
 265  Hartford                =  65.61   12  15   67.40( 308)    0   0  |    0   0  |   64.83  271 |   66.01  253
 266  NC Greensboro           =  65.39   10  19   70.81( 228)    0   1  |    0   2  |   66.27  255 |   64.06  279
 267  Eastern Michigan        =  65.31    7  21   72.36( 183)    0   0  |    0   1  |   64.93  268 |   65.34  263
 268  Fla. International      =  65.25    7  20   73.26( 158)    0   0  |    0   2  |   65.48  262 |   64.66  271
 269  Quinnipiac              =  65.13   11  16   68.11( 294)    0   1  |    0   1  |   64.72  273 |   65.19  267
 270  SC State                =  65.13   14  16   67.79( 299)    0   0  |    0   0  |   66.59  248 |   63.04  285
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 271  St. Francis-NY          =  65.04   10  17   68.85( 280)    0   0  |    0   1  |   64.53  279 |   65.19  266
 272  Hampton              $  =  65.01   16  15   63.20( 334)    0   0  |    0   0  |   64.43  283 |   65.23  265
 273  Sacred Heart            =  64.88   11  17   68.16( 292)    0   0  |    0   1  |   64.52  280 |   64.90  269
 274  UMBC(Md-Balt)           =  64.72   10  19   68.99( 279)    0   0  |    0   1  |   63.09  291 |   65.80  256
 275  NC Asheville            =  64.70    8  18   73.04( 165)    0   1  |    0   2  |   67.04  240 |   61.15  306
 276  Alabama A&M             =  64.65   11  12   65.28( 326)    0   0  |    0   1  |   62.48  295 |   66.10  252
 277  Coppin State            =  64.58   12  18   69.98( 255)    0   1  |    0   4  |   64.64  275 |   64.18  276
 278  New Hampshire           =  64.51   12  17   69.27( 274)    0   1  |    0   2  |   64.61  277 |   64.06  277
 279  Louisiana-Monroe        =  64.37    7  18   73.06( 164)    0   1  |    0   3  |   65.69  261 |   62.45  296
 280  Long Island U.          =  64.28   11  16   67.17( 311)    0   0  |    0   0  |   64.49  281 |   63.72  281
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 281  Jackson State           =  64.14   14  17   66.65( 316)    0   1  |    0   1  |   63.62  288 |   64.29  274
 282  IPFW                    =  64.09    8  18   71.96( 191)    0   0  |    0   1  |   64.84  270 |   62.91  287
 283  Lafayette               =  64.05    9  17   70.41( 241)    0   0  |    0   0  |   65.06  267 |   62.55  293
 284  South Dakota State      =  64.04    8  20   72.61( 178)    0   1  |    0   1  |   64.47  282 |   63.24  282
 285  East Carolina           =  63.90    6  20   71.83( 195)    0   1  |    0   1  |   62.70  293 |   64.64  272
 286  Columbia                =  63.64   10  16   67.59( 306)    0   0  |    0   0  |   64.07  285 |   62.84  288
 287  Norfolk State           =  63.56   13  18   67.75( 302)    0   1  |    0   3  |   64.19  284 |   62.52  294
 288  Colgate                 =  63.56    9  19   69.19( 276)    0   0  |    0   3  |   62.34  298 |   64.30  273
 289  Bethune-Cookman         =  63.52   15  15   65.64( 324)    0   1  |    0   2  |   64.86  269 |   61.55  301
 290  Maine                   =  63.33   10  16   68.01( 295)    0   0  |    0   1  |   63.28  290 |   63.04  284
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 291  Stetson                 =  63.26   14  18   65.77( 323)    0   0  |    0   3  |   62.27  300 |   63.82  280
 292  Florida A&M             =  63.26   13  17   68.29( 290)    0   2  |    0   3  |   64.80  272 |   60.96  307
 293  Brown                   =  63.06   10  17   67.87( 297)    0   0  |    0   0  |   63.88  286 |   61.78  298
 294  UC Davis                =  62.74    7  20   71.18( 207)    0   0  |    0   1  |   63.46  289 |   61.57  300
 295  Navy                    =  62.36    8  18   68.47( 284)    0   0  |    0   1  |   61.68  302 |   62.67  290
 296  Ark.-Pine Bluff         =  62.36   11  16   64.92( 328)    0   0  |    0   0  |   61.05  305 |   63.16  283
 297  Idaho                   =  62.31    3  25   75.97(  84)    0   0  |    0   5  |   61.51  303 |   62.70  289
 298  SE Missouri State       =  62.13    5  20   70.14( 249)    0   1  |    0   1  |   61.29  304 |   62.55  292
 299  Alabama State           =  62.11   12  18   66.78( 314)    0   1  |    0   1  |   62.27  299 |   61.60  299
 300  Grambling               =  61.92   12  13   64.89( 329)    0   0  |    0   0  |   62.54  294 |   60.89  308
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 301  Campbell                =  61.88   10  18   65.52( 325)    0   0  |    0   1  |   60.17  308 |   62.96  286
 302  James Madison           =  61.74    5  23   73.47( 151)    0   0  |    0   1  |   62.82  292 |   60.08  310
 303  Nicholls State          =  61.73    8  18   70.24( 247)    0   0  |    0   2  |   63.67  287 |   58.59  316
 304  Kennesaw State          =  61.54   11  15   65.93( 322)    0   0  |    0   1  |   62.43  296 |   60.13  309
 305  Western Illinois        =  61.51    5  21   70.83( 225)    0   1  |    0   3  |   59.73  312 |   62.61  291
 306  Dartmouth               =  61.48    6  21   69.20( 275)    0   0  |    0   1  |   59.85  310 |   62.49  295
 307  Eastern Illinois        =  61.31    6  21   70.27( 246)    0   0  |    0   0  |   62.41  297 |   59.60  313
 308  Central Michigan        =  61.26    3  24   73.58( 146)    0   0  |    0   0  |   60.68  307 |   61.45  302
 309  Duquesne                =  60.90    3  24   74.18( 121)    0   0  |    0   4  |   59.22  314 |   61.92  297
 310  UC Riverside            =  60.88    5  22   71.69( 197)    0   0  |    0   0  |   62.02  301 |   59.11  314
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 311  Alcorn State            =  60.46    8  20   67.69( 303)    0   0  |    0   1  |   59.17  315 |   61.21  305
 312  Longwood                =  60.45    8  20   68.36( 288)    0   1  |    0   1  |   60.87  306 |   59.64  312
 313  Stony Brook-NY          =  59.82    4  24   71.89( 192)    0   2  |    0   4  |   57.27  322 |   61.30  303
 314  Northern Colorado       =  59.66    3  24   72.05( 189)    0   1  |    0   1  |   56.76  324 |   61.30  304
 315  Centenary               =  59.23    3  23   70.81( 227)    0   0  |    0   0  |   58.18  318 |   59.80  311
 316  Liberty                 =  59.12    4  23   71.07( 215)    0   0  |    0   0  |   59.94  309 |   57.79  320
 317  MVSU(Miss. Valley St.)  =  59.08    9  18   66.35( 318)    0   0  |    0   0  |   59.62  313 |   58.11  317
 318  Howard                  =  58.63    7  22   66.00( 321)    0   0  |    0   0  |   57.98  319 |   58.89  315
 319  VMI                     =  58.54    4  20   69.85( 257)    0   0  |    0   1  |   59.11  316 |   57.55  322
 320  Mercer                  =  57.81    9  19   64.29( 332)    0   0  |    0   0  |   57.15  323 |   58.08  318
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 321  NC A&T                  =  57.68    6  23   67.49( 307)    0   0  |    0   1  |   57.68  320 |   57.35  323
 322  Citadel                 =  57.48    6  21   67.76( 301)    0   0  |    0   1  |   59.76  311 |   52.45  331
 323  Texas Southern          =  57.26    6  22   69.33( 273)    0   2  |    0   4  |   56.03  326 |   57.95  319
 324  UMES(Md.-Eastern Shore) =  57.25    7  22   66.57( 317)    0   0  |    0   2  |   58.21  317 |   55.66  327
 325  St. Francis-Pa.         =  56.92    3  24   69.35( 272)    0   0  |    0   1  |   56.47  325 |   57.01  324
 326  Morehead State          =  56.58    3  23   70.93( 221)    0   1  |    0   1  |   57.46  321 |   55.12  329
 327  Texas State             =  56.46    2  22   70.89( 223)    0   1  |    0   2  |   54.13  329 |   57.73  321
 328  Texas-Pan American      =  55.51    3  24   71.87( 194)    0   2  |    0   3  |   53.82  330 |   56.44  326
 329  North Florida(UNF)      =  54.86    4  22   64.15( 333)    0   0  |    0   0  |   50.89  331 |   56.61  325
 330  Army                    =  54.37    3  22   69.46( 266)    0   1  |    0   1  |   54.43  328 |   53.96  330
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 331  Jacksonville            =  53.21    1  26   67.78( 300)    0   1  |    0   2  |   45.23  334 |   55.35  328
 332  Morgan State            =  53.00    4  26   68.14( 293)    0   1  |    0   3  |   54.62  327 |   49.59  333
 333  Prairie View A&M        =  51.84    3  24   66.25( 320)    0   1  |    0   1  |   50.66  332 |   52.44  332
 334  Savannah State          =  45.38    1  26   70.42( 240)    0   1  |    0   2  |   46.67  333 |   42.26  334
